judul,label,isi_berita,url
Luhut Jawab Tantangan Haris soal Data Tambang: Kita Buka di Pengadilan!,HUKUM,"GELORA.CO - Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan menanggapi tantangan pihak Haris Azhar dan Fatia Maulidiyanti untuk buka-bukaan data perihal keterlibatan di bisnis tambang Papua. Luhut mengaku akan membuka data secara terbuka di pengadilan.""Itu yang saya bilang biar nanti di pengadilan, biar kita lihat. Karena saya tidak ada sama sekali bisnis di Papua, sama sekali tidak ada. Apalagi itu dibilang pertambangan-pertambangan itu kan berarti jamak, saya tidak ada,"" kata Luhut di Polda Metro Jaya, Jakarta, Senin (27/9/2021).Hari ini Luhut menjalani pemeriksaan sebagai pelapor atas laporannya kepada Haris Azhar dan Fatia Maulidiyanti tentang dugaan pencemaran nama baik. Luhut diperiksa satu jam oleh penyidik.Terkait tantangan Haris Azhar-Fatia untuk buka-bukaan data soal bisnis tambang Papua, Luhut tidak ambil pusing. Dia mempersilakan terlapor untuk membuka data yang dimiliki ke media.Dia juga menyebut data kekayaannya pun bisa dilacak lewat laporan di KPK dan LHKPN (Laporan Harta Kekayaan Penyelenggara Negara) untuk memastikan apakah dirinya terlibat di bisnis tambang Papua seperti yang dituding oleh terlapor.""Silakan aja buka aja di media sekarang. Dari sekarang juga bisa buka di media kok. Kan saya punya harta kekayaan ada di KPK itu, LHKPN itu,"" ujar Luhut.Kata Luhut soal MediasiLebih lanjut Luhut menyebut meski peluang mediasi tetap terbuka, namun dia mengaku siap jika kasus ini akan berlanjut hingga tahap pengadilan.""Sekali lagi saya ingatkan aja jangan sekali-sekali kita berlindung kepada hak asasi atau kebebasan berekspresi yang bisa mencederai orang. Dan saya tidak akan berhenti, saya ulangi, saya tidak akan berhenti saya membuktikan bahwa saya benar,"" katanya.Sebelumnya, pengacara Haris Azhar, Nurkholis Hidayat meminta agar pihak Luhut juga menyampaikan data apabila hal tersebut tidak benar.""Data yang kami maksud adalah laporan koalisi NGOs pada halaman 16 dan 18 menyebut jejak keterkaitan (tidak langsung) LBP dengan West Wits Mining via Tobacom Del Mandiri-PT. Toba Sejahtera Group,"" ujar Nurkholis saat dihubungi detikcom, Kamis (23/9/2021).""Konfirmasi atas itu yang klien kami minta penjelasannya. Tentu bukan sekadar bilang tidak punya bisnis tambang, tapi yang kami harapkan pak LBP memberikan data klarifikasi atau sanggahan misalnya kalau info di atas tidak benar, yang benar seperti apa terkait hubungan Pak LBP dengan entitas-entitas usaha yang disebutkan di atas,"" tambahnya.Ia menambahkan, penjelasan Luhut mengenai dugaan keterkaitannya dengan perusahaan itu guna membantu kliennya Haris Azhar dan Fatia Maulidiyanti untuk mengoreksi konten YouTube terkait bisnis tambang di Papua. Namun Nurkholis menyayangkan ajakan diskusi bersama Luhut untuk mengklarifikasi terkait hal tersebut tidak diindahkan.""Konfirmasi ini penting karena klien kami akan berpijak pada jawaban faktual LBP untuk mengkoreksi apa yang di bahas bersama Fatia dalam kanal YouTubenya,"" ucap Nurkholis.""Itulah makanya kami proaktif untuk mengundang Pak LBP atau yang mewakilinya untuk memberi penjelasan dan mengklarifikasi data. Sayangnya, baik ajakan dan undangan kami diabaikan,"" imbuhnya.(detik)",https://www.gelora.co/2021/09/luhut-jawab-tantangan-haris-soal-data.html
Muazin di Medan Cerita Detik-detik Kuping Disayat Jemaah hingga Nyaris Putus,PERISTIWA,"GELORA.CO - Telinga seorang muazin di Medan, M Syawal, nyaris putus usai diduga disayat seorang jemaah berinisial R. Syawal menceritakan detik-detik peristiwa mencekam tersebut.""Dia (terlapor R) bilang saya bukan orang situ, tapi sok mau berkuasa,"" kata Syawal mengawali ceritanya kepada wartawan, Senin (27/9/2021).Peristiwa itu terjadi di Masjid Raudhatul Islam, Medan Barat, usai salat magrib pada Senin (20/9). Dia mengatakan peristiwa itu terjadi saat ada makan bersama usai salat.Syawal menyebut R tiba-tiba membanting piring dan keluar dari ruang makan. Dia menyebut R juga memaki-maki dirinya.Menurut Syawal, R juga menyinggung masa lalunya yang merupakan pengguna narkoba. Syawal mengatakan R menyebut dirinya hanya berpura-pura sebagai muazin.""Terus menyinggung masa lalu saya soal narkoba. Dia bilang saya di situ modus saja, padahal penjahat,"" tuturnya.Dia kemudian mengaku sudah bertaubat dan tidak lagi menggunakan narkoba. Syawal mengatakan dirinya sudah tidak lagi menggunakan barang haram selama 2 tahun setelah keluar dari penjara.Singkat cerita, R tiba-tiba marah. Syawal mengaku diserang dengan pisau hingga telinganya kena sayat dan hampir putus.""Tiga kali saya bisa menghindari. Keempat kena kuping saya dan saya mendapatkan 39 jahitan,"" ucap Syawal.Syawal yang tidak terima atas perbuatan itu kemudian membuat laporan terhadap R ke polisi. Laporan itu bernomor: LP/216/IX/2021/SPKT/RESTABES MDN/SEK MDN BARAT tertanggal 20 September 2021.""Saya harap dia ditindak, dia selalu buat resah di masjid itu. Sebelum saya juga dia beberapa kali dia ribut sama orang masjid, termasuk sama BKM dan jemaah,"" ucap Syawal.(detik)",https://www.gelora.co/2021/09/muazin-di-medan-cerita-detik-detik.html
"Sepakat dengan SBY, Ibas: Fairness Is So Much Valuable Than Money Can Buy Evertyhing",POLITIK,"GELORA.CO - Pernyataan Ketua Majelis Tinggi Partai Demokrat Susilo Bambang Yudhoyono (SBY) tentang uang dan penegakan hukum mendapat sambutan baik dari Wakil Ketua Umum Partai Demokrat, Edhie Baskoro Yudhoyono (Ibas).SBY dalam kicauannya pagi ini, Senin (27/9), menyinggung hubungan antara uang dan penegakan hukum. Kata SBY, uang memang bisa untuk membeli banyak hal, tapi tidak semuanya. Salah satunya adalah hukum“Money can buy many things, but not everything. Mungkin hukum bisa dibeli, tapi tidak untuk keadilan,” ujar Presiden keenam RI tersebut.Ibas mengamini apa yang disampaikan SBY. Menurutnya, keadilan memang lebih berharga ketimbang uang. Sekalipun uang bisa untuk membeli segalanya.“Yes, fairness is so much valuable than money can buy everything. (Ya, keadilan lebih bernilai daripada uang yang bisa membeli segalanya),” kata Ibas yang merasa sepakat dengan SBY.Lebih lanjut, Ibas mengurai bahwa perdamaian dan keadilan adalah dua sisi dari mata uang yang sama. Untuk itu, dia berharap hukum masih tegak berdiri di negeri ini.“Berharap hukum kita di Indonesia masih tegak lurus dengan harapan mulia rakyat,” tegasnya.Saat ini, Partai Demokrat memang tengah mendapat “serangan” dari kubu Moeldoko, yang baru saja menunjuk pakar hukum tata negara Yusril Ihza Mahendra sebagai kuasa hukum. Yusril kemudian memperkarakan AD/ART Partai Demokrat ke Mahkamah Agung.Yusril menegaskan bahwa MA harus melakukan terobosan hukum dengan menjadi lembaga yang memeriksa, mengadili dan memeriksa apakah AD/ART Demokrat yang disahkan Menkumham bertentangan dengan UU atau tidak.Secara khusus, Yusril juga meminta MA memeriksa apakah pasal AD/ART Demokrat yang memberi kewenangan lebih kepada majelis tinggi bertentangan dengan UU Partai Politik atau tidak(RMOL)",https://www.gelora.co/2021/09/sepakat-dengan-sby-ibas-fairness-is-so.html
"Salawatan Bersama Zikri Daulay, Alvin Faiz Dicela Warganet: Gak Nangis, Tapi Gak Hafal",SELEB,"GELORA.CO - Baru-baru ini Alvin Faiz dan Zikri Daulay berada satu panggung bersama. Keduanya kembali bertemu dengan teman sekaligus mantan suami dari sang istri, Henny Rahman.Alvin berdiri bersebelahan dengan Zikri, dan keduanya mendapat kesempatan bersama untuk memimpin sholawat.Nampak ketika itu, Alvin sesekali menundukkan kepala dan diduga sedang menangis. Tangannya rutin memegang area mata sepertis sedang mengusap tangis.Ameer Azzikram, adik dari Alvin juga berada di panggung yang sama dengannya. Melihat sang kakak seperti sedang menangis, dirinya pun mengusap punggung kakaknya.Berbeda dengan Amee, Zikri justru hanya melirik sesaat ke Alvin, kemudian melanjutkan sholawatnya bersama sang, adik Syakir Daulay.Melansir dari Suara.com, video kebersamaan Alvin dan Zakir diunggah oleh akun instagram @lambehofficial, Senin (27/9/2021). Si admin menuliskan, ""saat lagi dipersatukan oleh sholawat"" sebagai keterangannya.Namun sayang, unggahan itu justru malah dicela habis-habisan oleh warganet. Beberapa dari mereka menyatakan bahwa Alvin hanya pura-pura menangis dan tak digubris oleh Zikri.""Nggak dipeduliin sama si Daulay, cuma dilirik aja. Dalam hatinya mungkin 'nggak usah lu sok nangis. Akting',"" tulis warganet.""Yang gue tangkap dari video itu... Kayaknya dia nggak nangis, tapi nggak hapal lirik sholawatan,"" katanya.""Pura-pura nangis biar jamaah bersimpatik. Apa iya?"" ucap yang lain.""Nangis bersalah mungkin. Apalagi di sampingnya ada sahabat yang mantan istrinya dinikahi,"" timplnya.Untuk diketahui momen tersebut bukan kali pertama Alvin Faiz bertemu dengan Zikri Daulay. Sebelumnya, ada unggahan Syakir Daulay yang memperlihatkan mereka berada di suatu tempat.Sayangnya dalam video yang diunggahSabtu (25/9/2021) tidak ada interaksi yang diperlihatkan ALvin Faiz maupun Zikri Daulay.[suara]",https://www.gelora.co/2021/09/salawatan-bersama-zikri-daulay-alvin.html
"Cerita Pilu Pensiunan Polisi jadi Manusia Silver, Baru Dapat Rp20 Ribu Sudah Ditangkap Satpol PP",PERISTIWA,"GELORA.CO - Tak terbayangkan di benak Agus Dartono ia harus mencari nafkah sehari-hari dengan menjadi manusia silver setelah pensiun sebagai anggota polisi.Menjadi manusia silver di Semarang, Jawa Tengah, terpaksa dipilih pensiunan polisi dengan pangkat terakhir Aipda ini untuk mencari nafkah.Kisah pria 61 tahun ini pun viral di media sosial setelah ia terjaring dalam operasi yang dilakukan Satpol PP Kota Semarang.“Enggak punya uang. Cari uang (jadi manusia silever) terus dapet Rp20 ribu malah kepegang Satpol PP. Saya bilang bekas anggota polisi,” kata Agus.Setelah menjalani pemeriksaan, Agus pun kemudian dilepaskan.Video viral kisah pensiunan polisi jadi manusia silver ini kemudian diketahui Polrestabes Semarang yang mendatangi rumahnya untuk diminta penjelasan.“Beliau mengakui pantang menyampaikan apa yang dirasa kekurangan beliau selama ini. Beliau ingin tanggung sendiri,” ungkap Wakapolrestabes Semarang, I.G.A. Dwi Perbawa Nugraha.Karena itu, pihaknya memastikan akan memberikan pekerjaan baru kepada Agus agar bisa memenuhi kebutuhan sehari-hari.Pantang Minta BantuanAtensi untuk Agus yang terakhir berdinas di Poslantas Tembalang itu juga datang dari Kapolda Jawa Tengah, Irjen Pol Ahmad Luthfi.Kabidhumas Kombes M Iqbal Alqudusy menyatakan, melalui stafnya, Kapolda memberikan bantuan uang dan sembako bagi Agus.“Video viral sekitar Sabtu (25/9/2021) pukul 11.00, sekitar pukul 12.00 Kapolda langsung meluncurkan bantuan,” ungkap Iqbal, Minggu (26/9/2021).“Melalui salah seorang staf Polda, AKBP Purbaya, beliau langsung menyerahkan bantuan uang yang langsung diterima di rumah Pak Agus,” sambungnya dikutip dari Radar Semarang.Iqbal menjelaskan, Agus diketahui tinggal bersama istrinya di kawasan Candisari, Semarang.Menjadi manusia silver, kata Iqbal, dipilih Agus lantaran memang terdesak kebutuhan ekonomi.Akan tetapi, Agus juga pantang meminta bantuan kerabat atau rekannya. Karena itu, ia memutuskan menjadi manusia silver.Ditambahkan Iqbal, Kapolrestabes Semarang, Kombes Irwan Anwar juga memberikan bantuan dan menjanjikan pekerjaan.Rencananya, hari ini, Senin (27/9/2021), Agus akan bertemu langsung dengan Kapolrestabes Semarang..“Kemarin Pak Agus juga sudah menghadap Wakapolrestabes dan langsung menerima bantuan dari Kapolrestabes serta juga bantuan hasil iuran rekan-rekan anggota,” tandas Iqbal.[pojoksatu]",https://www.gelora.co/2021/09/cerita-pilu-pensiunan-polisi-jadi.html
"Peluk Pelaku Usai Anaknya Ditabrak Hingga Kritis, Aksi Pria Ini Bikin Warganet Terharu",SOSMED,"GELORA.CO - Beredar sebuah video mengharukan seorang pria yang memeluk pelaku penabrak anaknya hingga kritis menuai sorotan publik. Aksi langka tersebut berhasil terekam melalui unggahan video di akun instagram @merindink, Minggu (26/09/2021). Dalam unggahan video tersebut merekam aksi seorang pria yang merasa bersalah. Karena ia telah menabrak anak kecil yang sedang mengejar bola di pinggir jalan. Akibat perbuatannya anak kecil itu mengalami luka serius dan langsung di larikan ke rumah sakit.Merasa terpukul dengan kejadian tersebut. Pria ini lantas meminta maaf dan menghampiri orang tuanya. Bahkan ia sampai berlutut memohon maaf karena telah membuat anaknya celaka. Alih-alih marah dan melakukan tindakan kekerasan. Ayah dari anak kecil tersebut justru memperlakukan hal berbeda. Ia nampak memeluk pelaku hingga membantu menenangkannya. Karena pelaku terlihat histeris dan merasa sangat bersalah. ""Tak perlu minta maaf. Apa kau menabrak putri dengan sengaja? Kau tentu tidak ingin hal itu terjadi. Jadi satu-satunya yang ku minta darimu adalah berdoa. Doakan agar putriku bisa bertahan,"" kata ayah korban sembari memeluk pelaku tersebut. Hingga kini belum diketahui pasti dimana lokasi video tersebut. Namun diduga peristiwa mengharukan itu terjadi di luar negeri. Sontak video tersebut berhasil mengundang perhatian warganet. Tak sedikit dari mereka yang terharu kepada orang tua korban karena memiliki jiwa yang sangat besar.         Lihat postingan ini di Instagram            Sebuah kiriman dibagikan oleh MERINDINK! (@merindink) ""Salut sama bapaknya bisa nerima keadaan,"" ucap akun @annisa**.""Dalamnya lautan samudera, lebih dalam hati bapak ini,"" kata akun @boyci**.""Klo di wakanda udah di hajar sampe mati,"" cetus akun @wedp**.""Respect banget sama yang begini, yang nabrak pun kelihatan banget penyesalannya,"" sahut akun @yusica**.""Dua duanya sama-sama gentle, yang satu mau ngaku, yang satu mau nerima,"" timpal akun @abdur**.[suara]",https://www.gelora.co/2021/09/peluk-pelaku-usai-anaknya-ditabrak.html
"Pelajar Kamboja Mampu Kembangkan Mobil Terbang, ALvin Lie: Apa Kabar Esemka?",OTOMOTIF,"GELORA.CO - Perkembangan teknologi yang semakin tak terbendung memicu para generasi muda mengembangkan diri menciptakan inovasi.Seperti yang tergambar di Kamboja, sekelompok pelajar Phnom Penh, Kamboja mampu membuat drone layaknya mobil terbang yang bisa ditumpangi manusia. Inovasi ini diciptakan berangkat dari kondisi lalu lintas di Kamboja yang cukup padat.Drone yang masih terus dikembangkan itu juga diharapkan bisa menjadi alat untuk membantu pemadam kebakaran di kota tersebut.Cipta karya yang dibuat para pelajar Kamboja ini turut memantik perhatian pengamat penerbangan Indonesia, Alvin Lie. Sejatinya, beragam inovasi juga sudah banyak diciptakan pelajar Indonesia dan cukup membanggakan.Alvin Lie pun mengingatkan publik atas inovasi pelajar SMK N 2 Surakarta yang mampu mengembangkan mobil dalam negeri yang kini dikenal dengan nama Esemka tahun 2008 silam. Namun sayang, kini hal tersebut tampak tenggelam seiring berjalannya waktu.""Sementara mobil Esemka kini tak terdengar suaranya, siswa politeknik Cambodia kembangkan drone/mobil terbang,"" kata Alvin Lie dikutip dari akun Twitternya, Senin (27/9).Mobil Esemka sejatinya merupakan buah dari program perakitan mobil Direktorat SMK Kementerian Pendidikan dan Kebudayaan, SMKN 2 tahun 2008 silam.Digandeng PT Solo Manufaktur Kreasi, prototipe mobil Esemka generasi pertama berhasil dikerjakan oleh siswa SMKN 2, SMKN 5 dan SMK Warga Surakarta di bawah bimbingan pemilik Bengkel Kiat Motor, Sukiyat.Nama Esemka kian harum saat mobil pertamanya, Esemka Rajawali digunakan Walikota Solo saat itu, Joko Widodo sebagai mobil dinas tahun 2012. Lambat laun, Esemka lantas berhasil menjadi ""kendaraan"" Jokowi untuk melenggang ke DKI Jakarta sebagai gubernur di tahun yang sama.Namun sayang, kini gaung Esemka yang digadang-gadang menjadi primadona mobil dalam negeri jarang terdengar lagi.Mobil tersebut kini digarap PT Solo Manufaktur Kreasi (Esemka). Pabrik sekaligus diler ini berloksi di Dusun II, Sambi, Boyolali, Jawa Tengah dan diklaim telah memproduksi massal sejak September 2019.Di sisi lain, Februari lalu Humas PT Esemka, Sabar Budi mengklaim sudah menjual sekitar 300-an unit. Selama ini produksi yang dilakukan masih terbatas untuk tipe Bima 1.2 dan juga Bima 1.3. (rmol)",https://www.gelora.co/2021/09/pelajar-kamboja-mampu-kembangkan-mobil.html
"Diorama G30S PKI di Museum Kostrad Dibongkar, Gatot: Paham Komunis Menyusup di TNI",POLITIK,"GELORA.CO - Mantan Panglima TNI Jenderal (Purn) Gatot Nurmantyo menyampaikan indikasi adanya penyusupan kembali pendukung PKI ke tubuh TNI.  Dalam sebuah acara diskusi webinar bertajuk “TNI Vs PKI”, Minggu (26/9), Gatot Nurmantyo menguraikan bukti-bukti yang mengindikasikan TNI sudah menganut paham-paham kiri.Hal itu dibuktikan dengan diputarkannya video pendek yang menggambarkan hilangnya sejumlah bukti-bukti penumpasan G30S/PKI di Museum Dharma Bhakti di Markas Komando Cadangan Strategis Angkatan Darat (Kostrad) di kawasan Gambir Jakarta Pusat.Menurut Gatot, diorama yang menggambarkan Kostrad dan RPKAD (saat ini disebut Kopassus) menumpas gerakan 30SPKI atau G30SPKI di Museum Kostrad itu hilang atau setidaknya dihilangkan. Atas dasar tersebutlah, Gatot mengatakan adanya penyusupan paham-paham PKI di tubuh TNI.""Saya katakan sudah ada paham-paham kiri, paham-paham komunis di tubuh TNI,"" tegasnya.Gatot menambahkan, untuk menghilangkan gambaran sejarah (penumpasan G30S/PKI) tersebut sekarang (ketiga patung) telah dibongkar dan tidak ada lagi.Lebih lanjut Gatot mengajak semua prajurit TNI untuk terlibat dalam membersihkan jajaran TNI dari penyusupan maupun pengaruh yang dapat  merusak jiwa juang para prajurit TNI dan bisa menyebabkan pengkhianatan.“Minimal, menjual institusi untuk mengejar jabatan dan bermuara ingkar terhadap sumpah kepada Tuhan Yang Maha Esa Allah SWT,” ungkapnya. (tvone)",https://www.gelora.co/2021/09/diorama-penumpasan-pki-di-museum.html
Dokter: Pelaku Pembakaran Mimbar Masjid Miliki Riwayat Gangguan Jiwa Psikosis,PERISTIWA,"GELORA.CO - Pelaku pembakaran mimbar Masjid Raya Makassar, Kabba (22), memiliki riwayat gangguan jiwa, dan pernah menjadi pasien rawat inap Rumah Sakit Khusus Daerah (RSKD) Dadi Makassar.Penjelasan itu disampaikan oleh Direktur RSKD Dadi, Dr Arman Bausat, saat dihubungi Kompas TV, Minggu (26/9/2021).Menurut Arman, berdasarkan penjelasan dokter ahli jiwa di RSKD, pelaku dirawat inap di rumah sakit tersebut sejak bulan Februari 2021.“Saya dapat konfirmasi dari dokter ahli jiwa yang pernah merawat dia. Jadi dia pernah dirawat pada bulan Februari 2021 dan keluar sekitar dua bulan kemudian,” jelasnya.Saat ditanya mengenai diagnosa penyakit hingga harus dilakukan rawat inap, Arman melalui pesan Whatsapp menyebut psikosis.“Diagnosis saat keluar adalah psikosis,” tulisnya.Dia menambahkan, pihak RSKD berencana untuk merilis keterangan terkait pasien tersebut pada esok hari.Sebelumnya, Kepala Kepolisian Resor Kota Besar (Kapolrestabes) Makassar Kombes Witnu Urip Laksana menjelaskan, polisi telah menetapkan pelaku sebagai tersangka.Pelaku akan dikenai Pasal Pasal 187 ayat 1 dan 2 KUH Pidana dengan ancaman hukuman di atas lima tahun.“Yaitu perbuatan sengaja membakar. Ancaman hukuman maksimal 15 tahun,” jelasnya.Witnu menyebut, pihaknya juga akan mendalami keterlibatan pelaku dengan para pengedar narkoba.Sebab, setelah dilakukan pengembangan terhadap perilaku pelaku, diduga pelaku sudah sejak lama mengonsumsi zat berbahaya, kandungan berbahaya, seperti yang diatur dalam UU narkoba dan psikotropika.“Ini juga akan kita lakukan pengembangan keterkaitan pelaku dan pengedar narkoba,” tegasnya.Selain membekuk pelaku, polisi juga mengamankan barang bukti berupa sajadah yang sudah separuh terbakar, potongan mimbar, dll.“Pelaku menggunakan sajadah agar mimbar cepat terbakar.” (kompas)",https://www.gelora.co/2021/09/dokter-pelaku-pembakaran-mimbar-masjid.html
"Ujang Komaruddin: Gaji DPR Besar Tapi Masih Korupsi, Potong Saja!",POLITIK,"GELORA.CO - Dewan Perwakilan Rakyat Republik Indonesia (DPR-RI) merupakan salah satu lembaga tinggi negara yang menjadi episentrum korupsi. Tidak heran apabila korupsi masih bercokol di Senayan sana.Begitu kata Direktur Eksekutif Indonesia Political Review (IPR) Ujang Komarudin menanggapi penangkapan Wakil Ketua DPR RI Azis Syamsuddin oleh Komisi Pemberantasan Korupsi (KPK) RI,""Kewenangannya sangat besar. Salah satunya DPR memiliki hak budgeting, nah di sinilah berawal permainan anggaran dan korupsi itu mulai dan terjadi,"" kata Ujang saat berbincang dengan Kantor Berita Politik RMOL sesaat lalu di Jakarta, Senin pagi (27/9).Oleh karena itu, tertangkapnya Wakil Ketua DPR RI Azis Syamsuddin oleh KPK terkait kasus korupsi di Lampung Tengah, harusnya dijadikan momentum untuk mengevaluasi kinerja DPR RI. Termasuk evaluasi gaji dan tunjangan yang diterima anggota DPR RI dari uang rakyat melalui APBN.""Mestinya potong gaji dan tunjangan anggota DPR RI yang ratusan juta itu,"" tegas dosen ilmu politik dari Universitas Al-Azhar Indonesia ini.Lebih lanjut, Ujang menilai wajar apabila rakyat Indonesia terus mengkritik DPR RI lantaran banyak yang korupsi. Padahal, uangnya berasal dari rakyat juga.""Ini yang membuat rakyat menghujat DPR. Mencari anggota DPR yang memiliki jiwa pengabdi sulit, ada mungkin. Tapi sedikit. Kebanyakan memperkaya diri, keluarga, dan kelompoknya,"" pungkasnya.Kasus korupsi di lingkungan Senayan mulai marak kembali. Setidaknya, dalam beberapa bulan terakhir anggota dewan yang terseret kasus korupsi, antara lain anggota DPR RI dari Partai Nasdem Hasan Aminuddin, Wakil Ketua Komisi VII DPR RI Alex Noerdin. Teranyar, Wakil Ketua DPR RI Fraksi Golkar Azis Syamsuddin.Azis Syamsuddin menjadi orang yang kesekian kalinya sebagai pimpinan DPR RI yang terjerat kasus rasuah. Ada nama Ketua DPR RI Fraksi Golkar Setya Novanto dan Wakil Ketua DPR Taufik Kurniawan, yang keduanya menjabat pada pada tahun 2014. (RMOL)",https://www.gelora.co/2021/09/ujang-komaruddin-gaji-dpr-besar-tapi.html
